x,y,description,id,category,type,imgNo,next,nPreCondition,nDialog,nArgument,repeat,args,dialogs,pres,
0,0,save,1010,-1,2,-1,-1,0,1,0,0,存档保存成功,,,
26,45,建筑与环境学院,401,1,0,2,-1,0,2,0,1, 这大概是江安最好看的一栋建筑了,不愧是建环学院,,
22,36,建筑与环境学院,402,1,0,3,-1,0,2,0,1,1 熬夜画大图,这里有通宵自习室。,,
10,19,工程训练中心旁边的空地,403,1,0,4,-1,0,2,0,1, 据说这里以前是练车场,然而随着商业街的搬迁，它也成为了历史。,,
33,83,一基楼,404,1,0,5,-1,0,2,0,1,隐秘而大气，生科，化学以及医科同学的必去之处,在停尸房旁的楼道里弹吉他，是不是很小(zhong)清(kou)新(wei)~？,,
29,62,二基楼,405,1,0,6,-1,0,4,0,1,二基楼，充满着阴森气息,路痴千万不要独自进入,一楼永远走不通~,夜晚慎入！
31,66,景观水道,406,1,0,7,-1,0,3,0,1,景观水道平时并没有什么用,不过白鹭停在水中央的时候也会有独特的意境,还是照毕业照的必选之处~,
57,73,体育馆,407,1,0,8,-1,0,4,0,1,~,热爱运动的你的必去之处~,只是离宿舍有两公里T_T,据说平时可以蹭校车从体育馆到青春广场，不知道是不是真的
19,89,行政楼,408,1,0,9,-1,0,4,0,1,这栋霸气的黑色建筑就是行政楼,一层你可以打印成绩单,做学生工作的同学可能要经常来这里跑流程了,一定要带齐材料，在老师面前不要慌张哈
19,82,综合楼B,409,1,0,10,-1,0,3,0,1,综合楼B座教室装修得特别小清新,走廊还有桌椅可以小组讨论~,是上自习的好地方,
