x,y,description,id,category,type,imgNo,next,nPreCondition,nDialog,nArgument,repeat,args,dialogs,pres
94,67,明远湖,1200,1,0,23,-1,0,1,0,1,淡泊<明>志，宁静致<远>,,
14,73,澡堂,1201,0,0,5,-1,0,2,0,1,3,马上就要排到了,真不容易,
15,73,澡堂,1202,0,0,15,-1,0,1,0,1,1,现在宿舍能洗澡了，这人已经不算多了,,
16,73,澡堂,1203,0,0,20,-1,0,1,0,1,1,以前江安澡堂排队可是上过新闻的,,
17,73,澡堂,1204,0,0,9,-1,0,1,0,1,1,跑完步洗个澡好舒服,,
18,73,澡堂,1205,0,0,2,-1,0,1,0,1,1,跑完步洗个澡好舒服,,
14,74,澡堂,1206,0,0,1,-1,0,2,0,1,3,哎，今天来完了,9点之前就不会有这么多人,
15,74,澡堂,1207,0,0,3,-1,0,1,0,1,1,现在宿舍能洗澡了，这人已经不算多了,,
16,74,澡堂,1208,0,0,4,-1,0,1,0,1,1,以前江安澡堂排队可是上过新闻的,,
17,74,澡堂,1209,0,0,16,-1,0,1,0,1,1,跑完步洗个澡好舒服,,
18,74,澡堂,1210,0,0,21,-1,0,1,0,1,1,耍耍手机,,
100,16,不高山,1211,1,0,5,-1,0,2,0,1,这里四季之际景皆不同,是部门社团素拓的好地方~,
