x,y,description,id,category,type,imgNo,next,nPreCondition,nDialog,nArgument,repeat,args,dialogs,pres,
106,23,不高山,1500,1,0,21,-1,0,1,0,1,据说晚上在不高山经常有灵异的事件发生呢,,,
94,67,明远湖,1501,1,0,23,-1,0,1,0,1,淡泊<明>志，宁静致<远>,,,
44,82,校车站,1502,1,0,4,-1,0,1,0,1,人好多啊,,,
43,82,校车站,1503,1,0,1,-1,0,1,0,1,现在坐校车都不用买票，直接刷校园卡了,,,
42,82,校车站,1504,1,0,3,-1,0,1,0,1,每个周五都是那么多的人,,,
41,82,校车站,1505,1,0,5,-1,0,1,0,1,这队恐怕要排一万年,,,
40,82,校车站,1506,1,0,6,-1,0,2,0,1,不要插队,自觉排队嘛,,
39,82,校车站,1507,1,0,8,-1,0,1,0,1,偶尔去城里吃顿好的,,,
38,82,校车站,1508,1,0,15,-1,0,1,0,1,周五一定要去城里浪一圈,,,
37,82,校车站,1509,1,0,16,-1,0,1,0,1,去望江找女票，好开心,,,
