x,y,description,id,category,type,imgNo,next,nPreCondition,nDialog,nArgument,repeat,args,dialogs,pres,,,,,
62,97,和人说话,0,[0-2],0,[1-22],不检查,>=0,>0,按协议,"[0,1]",是啥填啥,,,,,,,
,,超能力,1,,1,,4,,,,,,,,,,,,
64,97,东西说话,2,,2,,-1,,看着填,,看着填,,,,,,,,1
,,获得男友,3,,3,,9,,,1,,,,,,,,,
,,下套NPC,4,,4,,7,有就填,,,,,,,,,,,
,,血明远湖,5,,5,,8,,,,,,,,,,,,
,,水明远湖,6,,6,,12,,,,,,,,,,,,
,,打boss,7,,7,,-1,,,1,,,,,,,,,
,,进梦世界,8,,8,,-1,,,,,,,,,,,,
,,出梦世界,9,,9,,-1,,,,,,,,,,,,
,,判断打赢,10,,10,,-1,,,2,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
表里空着的都可以不填,,,,,,,,,,,,,,,,,,,
