x,y,description,id,category,type,imgNo,next,nPreCondition,nDialog,nArgument,repeat,args,dialogs,pres,,,,,
62,97,和人说话,0,[0-2],0,[1-22],不检查,有就填,>0,按协议,看着填,是啥填啥,,,,,,,
0,0,超能力,1,-1,1,-1,4,0,0,0,0,,,,,,,,
64,97,东西说话,2,-1,2,-1,-1,有就填,看着填,0,看着填,,,,,,,,1
0,0,获得男友,3,-1,3,-1,9,0,0,1,0,,,,,,,,
0,0,下套NPC,4,-1,4,-1,7,0,0,0,0,,,,,,,,
0,0,血明远湖,5,-1,5,-1,8,0,0,0,0,,,,,,,,
0,0,水明远湖,6,-1,6,-1,12,0,0,0,0,,,,,,,,
0,0,打boss,7,-1,7,-1,-1,0,0,1,0,,,,,,,,
0,0,进梦世界,8,-1,8,-1,-1,0,0,0,0,,,,,,,,
0,0,出梦世界,9,-1,9,-1,-1,0,0,0,0,,,,,,,,
0,0,判断打赢,10,-1,10,-1,-1,0,0,2,0,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
把默认值都填上是这样的,,,,,,,,,,,,,,,,,,,
